Name,M1,M1_atom_number,M2,M2_atom_number,M3,M3_atom_number,Support ,Support_ID,M2_mol,M3_mol,M1_mol%,M2_mol%,M3_mol%,Temp,Total_flow,Ar_flow,CH4_flow,O2_flow,CT,CH4/O2,CH4_conv,C2y,C2H6y,C2H4y,COy,CO2y,C2s,C2H6s,C2H4s,COs,CO2s
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,3.0,14.6,2.4,0.38,6,11.81,6.18,0.78,5.40,8.26,1.37,52.33,6.60,45.72,69.94,11.60
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,4.0,4.0,2.0,0.75,2,34.46,5.40,0.61,4.79,24.35,7.33,15.67,1.77,13.90,70.66,21.27
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,6.0,6.0,3.0,0.50,2,35.24,6.04,0.76,5.28,24.14,6.87,17.14,2.16,14.98,68.50,19.49
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,8.0,8.0,4.0,0.38,2,36.44,6.39,0.76,5.63,24.57,6.61,17.54,2.09,15.45,67.43,18.14
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,4.0,4.5,1.5,0.75,3,25.25,5.69,0.55,5.14,17.35,4.00,22.53,2.18,20.36,68.71,15.84
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,6.0,6.8,2.3,0.50,3,24.56,6.15,0.67,5.48,16.93,3.70,25.04,2.73,22.31,68.93,15.07
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,8.0,9.0,3.0,0.38,3,25.25,6.62,0.74,5.88,16.73,3.54,26.22,2.93,23.29,66.26,14.02
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,4.0,4.8,1.2,0.75,4,18.49,5.72,0.60,5.12,13.21,2.67,30.94,3.24,27.69,71.44,14.44
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,6.0,7.2,1.8,0.50,4,19.88,6.04,0.69,5.35,12.77,2.43,30.38,3.47,26.91,64.24,12.22
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,8.0,9.6,2.4,0.38,4,18.69,6.54,0.75,5.79,12.61,2.32,34.99,4.01,30.98,67.47,12.41
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,4.0,5.1,0.9,0.75,6,12.19,5.21,0.57,4.64,8.36,1.55,42.74,4.68,38.06,68.58,12.72
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,6.0,7.7,1.3,0.50,6,10.61,5.59,0.78,4.81,7.44,1.47,52.69,7.35,45.33,70.12,13.85
